circuit,events_per_lot,seed,prove_ms,verify_ms,proof_bytes,recursive_prove_ms,recursive_verify_ms,recursive_proof_bytes
threshold-lite,8,0,26.109,4.002,89516,419.129,3.824,127192
threshold-lite,8,1,16.446,2.396,89516,407.319,4.626,127192
threshold-lite,8,2,46.891,2.778,89516,412.796,4.012,127192
threshold-lite,16,0,26.532,2.412,94060,592.154,3.721,127192
threshold-lite,16,1,30.410,3.495,94060,465.577,4.700,127192
threshold-lite,16,2,87.252,7.594,94060,705.585,4.164,127192
threshold-lite,32,0,84.144,2.590,98668,511.787,3.731,127192
threshold-lite,32,1,72.582,2.677,98668,391.018,3.691,127192
threshold-lite,32,2,23.101,2.716,98668,456.527,3.747,127192
threshold-lite,64,0,79.733,2.806,103404,428.376,3.689,127192
threshold-lite,64,1,60.322,2.898,103404,374.737,4.199,127192
threshold-lite,64,2,57.916,2.795,103404,345.121,3.633,127192
