seed,events_per_lot,circuit,prove_ms,verify_ms,proof_bytes,peak_rss_mb,status,note,circuit_version,build_ms,witness_ms,setup_ms,gate_count,public_inputs,inner_prove_ms
1,8,c2_poseidon2_merkle_depth16,11.391791,10.422417,275462,7.546875,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.0,141.28758399999998,0.043834,0,1,0.0
1,8,c3_threshold_time,1.135334,0.528792,11114,7.796875,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.0,0.001542,0.043834,0,2,0.0
1,8,c4_poseidon2_actor_authorization,0.404792,0.4195,11674,7.9375,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.0,0.003625,0.043834,0,3,0.0
1,8,c5_poseidon2_nullifier_empty_leaf,10.53225,10.52875,276329,8.515625,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.000041,140.684833,0.043834,0,2,0.0
2,8,c2_poseidon2_merkle_depth16,10.834332999999999,10.514166,275766,8.5625,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.0,141.02208299999998,0.043834,0,1,0.0
2,8,c3_threshold_time,1.19575,0.562,11115,8.640625,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.0,0.00575,0.043834,0,2,0.0
2,8,c4_poseidon2_actor_authorization,0.425209,0.431916,11753,8.703125,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.0,0.003708,0.043834,0,3,0.0
2,8,c5_poseidon2_nullifier_empty_leaf,10.457292,10.638667,276495,8.796875,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.000041,171.887875,0.043834,0,2,0.0
3,8,c2_poseidon2_merkle_depth16,10.584,10.534791,275548,8.8125,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.0,144.44650000000001,0.043834,0,1,0.0
3,8,c3_threshold_time,1.163584,0.5878329999999999,11093,8.875,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.0,0.005666,0.043834,0,2,0.0
3,8,c4_poseidon2_actor_authorization,0.438791,0.434459,11692,8.921875,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.0,0.003875,0.043834,0,3,0.0
3,8,c5_poseidon2_nullifier_empty_leaf,10.517583,10.659375,275977,8.921875,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.000041,148.80633300000002,0.043834,0,2,0.0
1,16,c2_poseidon2_merkle_depth16,10.714542,10.617834,275594,8.9375,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.0,140.95154200000002,0.001583,0,1,0.0
1,16,c3_threshold_time,2.114042,0.6703749999999999,13497,8.953125,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.000042,0.0054589999999999994,0.001583,0,2,0.0
1,16,c4_poseidon2_actor_authorization,0.455833,0.474541,11751,8.984375,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.0,0.004666,0.001583,0,3,0.0
1,16,c5_poseidon2_nullifier_empty_leaf,10.274541999999999,10.482208,275974,9.0,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.0,140.340458,0.001583,0,2,0.0
2,16,c2_poseidon2_merkle_depth16,10.699208,10.526334,275564,9.0,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.0,141.78520799999998,0.001583,0,1,0.0
2,16,c3_threshold_time,2.186292,0.606291,13389,9.0625,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.000042,0.0022500000000000003,0.001583,0,2,0.0
2,16,c4_poseidon2_actor_authorization,0.400791,0.430958,11658,9.0625,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.0,0.005167,0.001583,0,3,0.0
2,16,c5_poseidon2_nullifier_empty_leaf,10.427833,10.671083,276115,9.0625,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.0,143.634084,0.001583,0,2,0.0
3,16,c2_poseidon2_merkle_depth16,11.220292,11.150291999999999,275620,9.0625,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.0,158.733125,0.001583,0,1,0.0
3,16,c3_threshold_time,2.205,0.631,13465,9.109375,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.000042,0.002291,0.001583,0,2,0.0
3,16,c4_poseidon2_actor_authorization,0.434667,0.448834,11782,9.140625,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.0,0.00425,0.001583,0,3,0.0
3,16,c5_poseidon2_nullifier_empty_leaf,10.84775,10.902958,276584,9.140625,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.0,193.581125,0.001583,0,2,0.0
1,32,c2_poseidon2_merkle_depth16,10.91225,10.788125,275621,9.28125,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.000125,250.475,0.00175,0,1,0.0
1,32,c3_threshold_time,4.169,0.706917,16100,9.328125,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.0,0.011375,0.00175,0,2,0.0
1,32,c4_poseidon2_actor_authorization,0.413375,0.45045799999999997,11707,9.328125,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.000042,0.003375,0.00175,0,3,0.0
1,32,c5_poseidon2_nullifier_empty_leaf,10.935125000000001,10.983959,276259,9.328125,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.000042,213.278916,0.00175,0,2,0.0
2,32,c2_poseidon2_merkle_depth16,19.676459,12.623542,275451,9.53125,ok,research;real:c2 verifies a private certificate/event membership path against a public Poseidon2 Merkle root,v4-plonky3-poseidon2-merkle-depth16,0.000125,202.206792,0.00175,0,1,0.0
2,32,c3_threshold_time,4.194833,0.708208,16058,9.578125,ok,research;real:c3 proves threshold/time baseline in a Plonky3 STARK with 32-bit range and strict timestamp AIR constraints,v4-plonky3-threshold-time,0.0,0.004333,0.00175,0,2,0.0
2,32,c4_poseidon2_actor_authorization,0.422333,0.4455,11727,9.578125,ok,research;real:c4 proves ZK-native Poseidon2 actor authorization; Ed25519/EdDSA remains a separate blocker,v4-plonky3-poseidon2-actor-authorization,0.000042,0.004125,0.00175,0,3,0.0
2,32,c5_poseidon2_nullifier_empty_leaf,33.35858399999999,24.85325,276069,9.578125,ok,research;mvp:c5 proves Poseidon2 nullifier derivation plus hashed empty-leaf MVP non-membership; not a production accumulator,v4-plonky3-poseidon2-nullifier-empty-leaf,0.000042,196.348375,0.00175,0,2,0.0
