circuit,events_per_lot,seed,prove_time_s,verify_time_ms,proof_size_bytes,peak_ram_gb
c2_poseidon2_merkle_depth16,8,1,0.010702041,10.126583,275462,0.007156372
c3_threshold_time,8,1,0.001112084,0.526125,11114,0.007354736
c4_poseidon2_actor_authorization,8,1,0.000397292,0.423959,11674,0.007492065
c5_poseidon2_nullifier_empty_leaf,8,1,0.010087042,10.125042,276329,0.007614136
c2_poseidon2_merkle_depth16,8,2,0.010196500,10.150083,275766,0.007629395
c3_threshold_time,8,2,0.001097708,0.527042,11115,0.007690430
c4_poseidon2_actor_authorization,8,2,0.000396375,0.418458,11753,0.007781982
c5_poseidon2_nullifier_empty_leaf,8,2,0.010241500,10.129833,276495,0.007812500
c2_poseidon2_merkle_depth16,8,3,0.010025750,10.071208,275548,0.007812500
c3_threshold_time,8,3,0.001110167,0.521541,11093,0.007888794
c4_poseidon2_actor_authorization,8,3,0.000385459,0.416459,11692,0.007919312
c5_poseidon2_nullifier_empty_leaf,8,3,0.010260750,10.400125,275977,0.008377075
c2_poseidon2_merkle_depth16,8,4,0.010524709,10.332375,275535,0.008514404
c3_threshold_time,8,4,0.001184667,0.547125,11070,0.008529663
c4_poseidon2_actor_authorization,8,4,0.000414875,0.443208,11753,0.008560181
c5_poseidon2_nullifier_empty_leaf,8,4,0.010195083,10.086375,276501,0.008575439
c2_poseidon2_merkle_depth16,8,5,0.010096750,10.094000,275603,0.008575439
c3_threshold_time,8,5,0.001111334,0.526584,11073,0.008621216
c4_poseidon2_actor_authorization,8,5,0.000392000,0.417375,11681,0.008621216
c5_poseidon2_nullifier_empty_leaf,8,5,0.010074333,10.071667,276070,0.008621216
c2_poseidon2_merkle_depth16,8,6,0.010029333,10.267250,275781,0.008621216
c3_threshold_time,8,6,0.001107250,0.520750,11070,0.008636475
c4_poseidon2_actor_authorization,8,6,0.000390833,0.417125,11743,0.008636475
c5_poseidon2_nullifier_empty_leaf,8,6,0.010354709,10.246292,276095,0.008728027
c2_poseidon2_merkle_depth16,8,7,0.010306291,10.134209,275650,0.008743286
c3_threshold_time,8,7,0.001111333,0.519000,11119,0.008743286
c4_poseidon2_actor_authorization,8,7,0.000384208,0.415583,11671,0.008743286
c5_poseidon2_nullifier_empty_leaf,8,7,0.010064375,10.132416,276008,0.008758545
c2_poseidon2_merkle_depth16,8,8,0.010068333,10.110917,275015,0.008758545
c3_threshold_time,8,8,0.001090334,0.524666,11065,0.008758545
c4_poseidon2_actor_authorization,8,8,0.000393542,0.416750,11662,0.008758545
c5_poseidon2_nullifier_empty_leaf,8,8,0.010100167,10.143916,276527,0.008758545
c2_poseidon2_merkle_depth16,8,9,0.010057209,10.386084,275470,0.008758545
c3_threshold_time,8,9,0.001133958,0.523000,11088,0.008758545
c4_poseidon2_actor_authorization,8,9,0.000395833,0.418792,11786,0.008773804
c5_poseidon2_nullifier_empty_leaf,8,9,0.010381167,10.152166,276116,0.008773804
c2_poseidon2_merkle_depth16,8,10,0.010444542,10.232917,275486,0.008789062
c3_threshold_time,8,10,0.001115583,0.528750,11097,0.008804321
c4_poseidon2_actor_authorization,8,10,0.000400042,0.427584,11726,0.008804321
c5_poseidon2_nullifier_empty_leaf,8,10,0.010770292,10.560333,276070,0.008804321
c2_poseidon2_merkle_depth16,8,11,0.010680000,10.478750,275134,0.008804321
c3_threshold_time,8,11,0.001213083,0.532958,11024,0.008804321
c4_poseidon2_actor_authorization,8,11,0.000390916,0.419375,11670,0.008804321
c5_poseidon2_nullifier_empty_leaf,8,11,0.010895417,10.432292,276098,0.008895874
c2_poseidon2_merkle_depth16,8,12,0.010817666,10.256625,275659,0.008895874
c3_threshold_time,8,12,0.001143167,0.542833,11124,0.008911133
c4_poseidon2_actor_authorization,8,12,0.000419292,0.452667,11636,0.008911133
c5_poseidon2_nullifier_empty_leaf,8,12,0.010640000,10.549334,276565,0.008911133
c2_poseidon2_merkle_depth16,8,13,0.010559166,10.394875,275278,0.008911133
c3_threshold_time,8,13,0.001113958,0.529958,11115,0.008926392
c4_poseidon2_actor_authorization,8,13,0.000398459,0.452875,11609,0.008926392
c5_poseidon2_nullifier_empty_leaf,8,13,0.010702708,10.965333,275746,0.008926392
c2_poseidon2_merkle_depth16,8,14,0.010432375,10.194709,275171,0.008926392
c3_threshold_time,8,14,0.001106250,0.528417,11119,0.008926392
c4_poseidon2_actor_authorization,8,14,0.000392334,0.418208,11697,0.008926392
c5_poseidon2_nullifier_empty_leaf,8,14,0.010488250,10.564042,275965,0.008926392
c2_poseidon2_merkle_depth16,8,15,0.010273166,10.209916,275890,0.008926392
c3_threshold_time,8,15,0.001097375,0.527042,11028,0.008926392
c4_poseidon2_actor_authorization,8,15,0.000389292,0.422791,11646,0.008926392
c5_poseidon2_nullifier_empty_leaf,8,15,0.010293042,10.780125,276249,0.008926392
c2_poseidon2_merkle_depth16,8,16,0.010312875,10.380834,275257,0.008926392
c3_threshold_time,8,16,0.001127000,0.530583,11085,0.008926392
c4_poseidon2_actor_authorization,8,16,0.000447458,0.431458,11619,0.008926392
c5_poseidon2_nullifier_empty_leaf,8,16,0.010209667,10.165000,275774,0.008926392
c2_poseidon2_merkle_depth16,8,17,0.010237625,10.238375,275316,0.008926392
c3_threshold_time,8,17,0.001181125,0.535292,11145,0.008926392
c4_poseidon2_actor_authorization,8,17,0.000404125,0.422792,11663,0.008926392
c5_poseidon2_nullifier_empty_leaf,8,17,0.010147750,10.160583,276212,0.008926392
c2_poseidon2_merkle_depth16,8,18,0.010091959,10.217250,275746,0.008941650
c3_threshold_time,8,18,0.001083125,0.518291,11097,0.008941650
c4_poseidon2_actor_authorization,8,18,0.000378417,0.415334,11683,0.008941650
