phase,cell_id,run_id,np,shipment,epoch_s,seed,seed_index,seeds_per_cell,lambda_events_per_min,offered_load_epm,epochs_target
screening,screening-np125-sh16-ep30,screening-np125-sh16-ep30#s171818478,125,16,30,171818478,0,1,3.84,480.0,4
screening,screening-np125-sh16-ep60,screening-np125-sh16-ep60#s2093134805,125,16,60,2093134805,0,1,3.84,480.0,4
screening,screening-np125-sh16-ep120,screening-np125-sh16-ep120#s320795366,125,16,120,320795366,0,1,3.84,480.0,4
screening,screening-np125-sh16-ep300,screening-np125-sh16-ep300#s2862939090,125,16,300,2862939090,0,1,3.84,480.0,4
screening,screening-np125-sh32-ep30,screening-np125-sh32-ep30#s3941116334,125,32,30,3941116334,0,1,3.84,480.0,4
screening,screening-np125-sh32-ep60,screening-np125-sh32-ep60#s4190089789,125,32,60,4190089789,0,1,3.84,480.0,4
screening,screening-np125-sh32-ep120,screening-np125-sh32-ep120#s2989670059,125,32,120,2989670059,0,1,3.84,480.0,4
screening,screening-np125-sh32-ep300,screening-np125-sh32-ep300#s3572812162,125,32,300,3572812162,0,1,3.84,480.0,4
screening,screening-np125-sh64-ep30,screening-np125-sh64-ep30#s723000286,125,64,30,723000286,0,1,3.84,480.0,4
screening,screening-np125-sh64-ep60,screening-np125-sh64-ep60#s4035467540,125,64,60,4035467540,0,1,3.84,480.0,4
screening,screening-np125-sh64-ep120,screening-np125-sh64-ep120#s1891260303,125,64,120,1891260303,0,1,3.84,480.0,4
screening,screening-np125-sh64-ep300,screening-np125-sh64-ep300#s1699056578,125,64,300,1699056578,0,1,3.84,480.0,4
screening,screening-np125-sh128-ep30,screening-np125-sh128-ep30#s795722898,125,128,30,795722898,0,1,3.84,480.0,4
screening,screening-np125-sh128-ep60,screening-np125-sh128-ep60#s3791966942,125,128,60,3791966942,0,1,3.84,480.0,4
screening,screening-np125-sh128-ep120,screening-np125-sh128-ep120#s3323195842,125,128,120,3323195842,0,1,3.84,480.0,4
screening,screening-np125-sh128-ep300,screening-np125-sh128-ep300#s2190143304,125,128,300,2190143304,0,1,3.84,480.0,4
screening,screening-np250-sh16-ep30,screening-np250-sh16-ep30#s1997119946,250,16,30,1997119946,0,1,3.84,960.0,4
screening,screening-np250-sh16-ep60,screening-np250-sh16-ep60#s1023851366,250,16,60,1023851366,0,1,3.84,960.0,4
screening,screening-np250-sh16-ep120,screening-np250-sh16-ep120#s3112027097,250,16,120,3112027097,0,1,3.84,960.0,4
screening,screening-np250-sh16-ep300,screening-np250-sh16-ep300#s1716236382,250,16,300,1716236382,0,1,3.84,960.0,4
screening,screening-np250-sh32-ep30,screening-np250-sh32-ep30#s381359892,250,32,30,381359892,0,1,3.84,960.0,4
screening,screening-np250-sh32-ep60,screening-np250-sh32-ep60#s1567458450,250,32,60,1567458450,0,1,3.84,960.0,4
screening,screening-np250-sh32-ep120,screening-np250-sh32-ep120#s3570549053,250,32,120,3570549053,0,1,3.84,960.0,4
screening,screening-np250-sh32-ep300,screening-np250-sh32-ep300#s1263182262,250,32,300,1263182262,0,1,3.84,960.0,4
screening,screening-np250-sh64-ep30,screening-np250-sh64-ep30#s4104998717,250,64,30,4104998717,0,1,3.84,960.0,4
screening,screening-np250-sh64-ep60,screening-np250-sh64-ep60#s3863570591,250,64,60,3863570591,0,1,3.84,960.0,4
screening,screening-np250-sh64-ep120,screening-np250-sh64-ep120#s3873616900,250,64,120,3873616900,0,1,3.84,960.0,4
screening,screening-np250-sh64-ep300,screening-np250-sh64-ep300#s2901557352,250,64,300,2901557352,0,1,3.84,960.0,4
screening,screening-np250-sh128-ep30,screening-np250-sh128-ep30#s4219345461,250,128,30,4219345461,0,1,3.84,960.0,4
